id_event,sort_order,time,text,event_type,side,event_team,opponent,player,fastBreak
364,132,90,Tim Wiese (SV Werder Bremen) wins a free kick in the defensive half.,8,1,Werder Bremen,Kaiserslautern,tim wiese,0
365,133,90,Foul by Rodnei (Kaiserslautern).,3,2,Kaiserslautern,Werder Bremen,rodnei,0
366,134,90,Attempt blocked. Ivo Ilicevic (Kaiserslautern) right footed shot from the left side of the box is blocked. Assisted by Konstantinos Fortounis.,1,2,Kaiserslautern,Werder Bremen,ivo ilicevic,0
367,135,90,"Corner,  Kaiserslautern. Conceded by Lukas Schmitz.",2,2,Kaiserslautern,Werder Bremen,lukas schmitz,0
368,136,90,Attempt blocked. Olcay Sahan (Kaiserslautern) right footed shot from outside the box is blocked.,1,2,Kaiserslautern,Werder Bremen,olcay sahan,0
369,137,90,Attempt saved. Rodnei (Kaiserslautern) right footed shot from very close range is saved in the centre of the goal. Assisted by Martin Amedick with a headed pass.,1,2,Kaiserslautern,Werder Bremen,rodnei,0
370,1,2,Bruno Ecuele Manga (Lorient) wins a free kick in the defensive half.,8,2,Lorient,Paris Saint-Germain,bruno ecuele manga,0
371,2,2,Yann Jouffre (Lorient) wins a free kick on the right wing.,8,2,Lorient,Paris Saint-Germain,yann jouffre,0
372,3,2,Foul by Blaise Matuidi (Paris Saint Germain).,3,1,Paris Saint-Germain,Lorient,blaise matuidi,0
373,4,5,Lucas Mareque (Lorient) wins a free kick on the left wing.,8,2,Lorient,Paris Saint-Germain,lucas mareque,0
374,5,5,Foul by JA??rA??my Menez (Paris Saint Germain).,3,1,Paris Saint-Germain,Lorient,jeremy menez,0
375,6,8,Attempt blocked. Julien Quercia (Lorient) right footed shot from outside the box is blocked. Assisted by Lucas Mareque.,1,2,Lorient,Paris Saint-Germain,julien quercia,0
376,7,10,Guillaume Hoarau (Paris Saint Germain) wins a free kick on the right wing.,8,1,Paris Saint-Germain,Lorient,guillaume hoarau,0
377,8,11,Arnold Mvuemba (Lorient) wins a free kick in the defensive half.,8,2,Lorient,Paris Saint-Germain,arnold mvuemba,0
378,9,11,Foul by JA??rA??my Menez (Paris Saint Germain).,3,1,Paris Saint-Germain,Lorient,jeremy menez,0
379,10,11,Attempt missed. KA??vin Monnet-Paquet (Lorient) left footed shot from the left side of the six yard box misses to the right. Assisted by Julien Quercia with a cross.,1,2,Lorient,Paris Saint-Germain,kevin monnetpaquet,0
380,11,11,Attempt saved. Yann Jouffre (Lorient) right footed shot from the centre of the box is saved in the bottom right corner. Assisted by Julien Quercia.,1,2,Lorient,Paris Saint-Germain,yann jouffre,0
381,12,13,KA??vin Monnet-Paquet (Lorient) wins a free kick in the attacking half.,8,2,Lorient,Paris Saint-Germain,kevin monnetpaquet,0
382,13,13,Foul by Milan Bisevac (Paris Saint Germain).,3,1,Paris Saint-Germain,Lorient,milan bisevac,0
383,14,15,Foul by Arnold Mvuemba (Lorient).,3,2,Lorient,Paris Saint-Germain,arnold mvuemba,0
384,15,15,ClA??ment Chantome (Paris Saint Germain) wins a free kick in the attacking half.,8,1,Paris Saint-Germain,Lorient,clement chantome,0
385,16,15,"Attempt missed. Kevin Gameiro (Paris Saint Germain) right footed shot from outside the box is close, but misses to the left. Assisted by Guillaume Hoarau with a headed pass.",1,1,Paris Saint-Germain,Lorient,kevin gameiro,0
386,17,20,"Offside, Paris Saint Germain. Milan Bisevac tries a through ball, but NenA?? is caught offside.",9,1,Paris Saint-Germain,Lorient,nene,0
387,18,22,Lucas Mareque (Lorient) wins a free kick on the left wing.,8,2,Lorient,Paris Saint-Germain,lucas mareque,0
